@relation ViewB_DF_200.arff

@attribute ViewB_t numeric
@attribute ViewB_s numeric
@attribute ViewB_write numeric
@attribute ViewB_edu numeric
@attribute ViewB_articl numeric
@attribute ViewB_us numeric
@attribute ViewB_com numeric
@attribute ViewB_m numeric
@attribute ViewB_just numeric
@attribute ViewB_like numeric
@attribute ViewB_don numeric
@attribute ViewB_know numeric
@attribute ViewB_think numeric
@attribute ViewB_peopl numeric
@attribute ViewB_time numeric
@attribute ViewB_doe numeric
@attribute ViewB_make numeric
@attribute ViewB_new numeric
@attribute ViewB_sai numeric
@attribute ViewB_c numeric
@attribute ViewB_thank numeric
@attribute ViewB_right numeric
@attribute ViewB_d numeric
@attribute ViewB_apr numeric
@attribute ViewB_work numeric
@attribute ViewB_want numeric
@attribute ViewB_gun numeric
@attribute ViewB_problem numeric
@attribute ViewB_need numeric
@attribute ViewB_thing numeric
@attribute ViewB_good numeric
@attribute ViewB_control numeric
@attribute ViewB_wai numeric
@attribute ViewB_drive numeric
@attribute ViewB_look numeric
@attribute ViewB_did numeric
@attribute ViewB_ve numeric
@attribute ViewB_believ numeric
@attribute ViewB_card numeric
@attribute ViewB_state numeric
@attribute ViewB_help numeric
@attribute ViewB_dai numeric
@attribute ViewB_come numeric
@attribute ViewB_e numeric
@attribute ViewB_point numeric
@attribute ViewB_post numeric
@attribute ViewB_govern numeric
@attribute ViewB_set numeric
@attribute ViewB_run numeric
@attribute ViewB_try numeric
@attribute ViewB_question numeric
@attribute ViewB_support numeric
@attribute ViewB_realli numeric
@attribute ViewB_differ numeric
@attribute ViewB_happen numeric
@attribute ViewB_mean numeric
@attribute ViewB_start numeric
@attribute ViewB_read numeric
@attribute ViewB_got numeric
@attribute ViewB_law numeric
@attribute ViewB_said numeric
@attribute ViewB_person numeric
@attribute ViewB_tell numeric
@attribute ViewB_weapon numeric
@attribute ViewB_possibl numeric
@attribute ViewB_pc numeric
@attribute ViewB_year numeric
@attribute ViewB_fbi numeric
@attribute ViewB_mail numeric
@attribute ViewB_r numeric
@attribute ViewB_didn numeric
@attribute ViewB_sure numeric
@attribute ViewB_go numeric
@attribute ViewB_let numeric
@attribute ViewB_number numeric
@attribute ViewB_case numeric
@attribute ViewB_ll numeric
@attribute ViewB_hard numeric
@attribute ViewB_arm numeric
@attribute ViewB_better numeric
@attribute ViewB_opinion numeric
@attribute ViewB_doesn numeric
@attribute ViewB_bui numeric
@attribute ViewB_follow numeric
@attribute ViewB_reason numeric
@attribute ViewB_littl numeric
@attribute ViewB_univers numeric
@attribute ViewB_get numeric
@attribute ViewB_group numeric
@attribute ViewB_kill numeric
@attribute ViewB_v numeric
@attribute ViewB_lot numeric
@attribute ViewB_call numeric
@attribute ViewB_cs numeric
@attribute ViewB_power numeric
@attribute ViewB_x numeric
@attribute ViewB_bu numeric
@attribute ViewB_f numeric
@attribute ViewB_claim numeric
@attribute ViewB_machin numeric
@attribute ViewB_ask numeric
@attribute ViewB_bit numeric
@attribute ViewB_second numeric
@attribute ViewB_gener numeric
@attribute ViewB_actual numeric
@attribute ViewB_fact numeric
@attribute ViewB_window numeric
@attribute ViewB_probabl numeric
@attribute ViewB_live numeric
@attribute ViewB_david numeric
@attribute ViewB_mb numeric
@attribute ViewB_respons numeric
@attribute ViewB_firearm numeric
@attribute ViewB_b numeric
@attribute ViewB_far numeric
@attribute ViewB_place numeric
@attribute ViewB_k numeric
@attribute ViewB_wrong numeric
@attribute ViewB_talk numeric
@attribute ViewB_n numeric
@attribute ViewB_heard numeric
@attribute ViewB_board numeric
@attribute ViewB_ca numeric
@attribute ViewB_p numeric
@attribute ViewB_inform numeric
@attribute ViewB_end numeric
@attribute ViewB_do numeric
@attribute ViewB_cours numeric
@attribute ViewB_caus numeric
@attribute ViewB_w numeric
@attribute ViewB_local numeric
@attribute ViewB_u numeric
@attribute ViewB_consid numeric
@attribute ViewB_line numeric
@attribute ViewB_long numeric
@attribute ViewB_wrote numeric
@attribute ViewB_disk numeric
@attribute ViewB_includ numeric
@attribute ViewB_seen numeric
@attribute ViewB_type numeric
@attribute ViewB_report numeric
@attribute ViewB_abl numeric
@attribute ViewB_death numeric
@attribute ViewB_j numeric
@attribute ViewB_ye numeric
@attribute ViewB_dx numeric
@attribute ViewB_note numeric
@attribute ViewB_allow numeric
@attribute ViewB_todai numeric
@attribute ViewB_dos numeric
@attribute ViewB_chang numeric
@attribute ViewB_standard numeric
@attribute ViewB_mayb numeric
@attribute ViewB_program numeric
@attribute ViewB_crime numeric
@attribute ViewB_wait numeric
@attribute ViewB_batf numeric
@attribute ViewB_softwar numeric
@attribute ViewB_hand numeric
@attribute ViewB_waco numeric
@attribute ViewB_home numeric
@attribute ViewB_old numeric
@attribute ViewB_driver numeric
@attribute ViewB_koresh numeric
@attribute ViewB_advanc numeric
@attribute ViewB_won numeric
@attribute ViewB_avail numeric
@attribute ViewB_have numeric
@attribute ViewB_protect numeric
@attribute ViewB_instal numeric
@attribute ViewB_requir numeric
@attribute ViewB_bad numeric
@attribute ViewB_compound numeric
@attribute ViewB_check numeric
@attribute ViewB_interest numeric
@attribute ViewB_order numeric
@attribute ViewB_true numeric
@attribute ViewB_countri numeric
@attribute ViewB_rememb numeric
@attribute ViewB_internet numeric
@attribute ViewB_appreci numeric
@attribute ViewB_address numeric
@attribute ViewB_turn numeric
@attribute ViewB_hope numeric
@attribute ViewB_speak numeric
@attribute ViewB_awai numeric
@attribute ViewB_ide numeric
@attribute ViewB_public numeric
@attribute ViewB_thought numeric
@attribute ViewB_nation numeric
@attribute ViewB_hear numeric
@attribute ViewB_compani numeric
@attribute ViewB_info numeric
@attribute ViewB_isn numeric
@attribute ViewB_free numeric
@attribute ViewB_american numeric
@attribute ViewB_scsi numeric
@attribute ViewB_feder numeric
@attribute ViewB_special numeric
@attribute ViewB_great numeric
@attribute class {positiveClass,negativeClass}

@data

0,0,0,0.6991652528855082,0,0,0,1.107148619690396,0,0,0,0,0,0,0,1.40649706843741,0,0,0,0,1.516403046466911,0,0,0,0,1.5847452998437288,0,0,0,0,0,0,0,0,0,0,1.786771927717016,0,1.8357113567572378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107841016201534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3279029009783354,0,0,4.707756774763192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.180534330891653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positiveClass
0,0,0,0,0,0,0,0,0,0,0,0,1.2891676503891678,0,0,0,0,1.4460443655256645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107841016201534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2730262907525014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703062659591171,positiveClass
1.6084302952508414,2.2554993794232243,0.6358221139406759,2.0974957586565246,0,1.7565453293732685,0,3.3214458590711877,1.107148619690396,0,3.413619007864237,1.1760334356366946,0,0,1.4003932854993923,1.40649706843741,1.410587053688935,0,1.4762190686478776,2.974440559419702,0,1.5278579254416775,0,0,3.1452478786227682,1.5847452998437288,0,1.5994875815809322,0,1.639897119918809,1.6793240398982667,1.6982691261407161,1.7147984280919266,0,0,1.774902352161632,1.786771927717016,0,0,0,0,0,1.8773173575897015,1.8773173575897015,0,0,0,0,0,1.9661128563728327,0,0,0,0,0,0,0,0,2.0714733720306593,2.083449563077375,0,2.091514122914105,2.1037342342488805,0,0,0,0,0,0,6.398526955220854,0,0,2.1541650878757723,0,0,0,2.1759524420606797,2.1892564076870427,0,0,0,0,0,0,0,0,0,0,0,0,2.302585092994046,2.3176987308040937,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3805466344637574,9.543866807732387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4710037446190087,0,0,0,0,0,0,0,0,9.931634588501309,0,0,0,0,0,2.5194980945576195,0,2.5257286443082556,0,0,0,0,0,2.563949857128453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617295837833746,0,0,0,0,0,0,0,0,0,0,0,2.645075401940822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positiveClass
0,0,0.6358221139406759,2.796661011542033,0.8040787412672269,1.7565453293732685,0,1.107148619690396,0,0,0,1.1760334356366946,0,0,0,1.40649706843741,0,1.4460443655256645,0,0,1.516403046466911,0,0,1.5606477482646683,1.5726239393113841,0,0,0,0,0,1.6793240398982667,0,0,0,1.7544636844843582,0,0,0,0,1.8515094736338291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107841016201534,4.215682032403068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2633643798407643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4769384801388235,0,0,0,0,0,2.513306124309698,0,0,2.5194980945576195,0,0,0,0,0,0,0,0,0,23.134180843346822,0,0,0,2.583622622727158,0,0,0,0,2.596956153596623,0,0,0,2.610469872763346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6809215337139576,0,0,0,0,0,0,0,positiveClass
0,0,0,0,0,0.8782726646866342,1.7661955290367821,0,0,0,0,1.1760334356366946,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5847452998437288,0,0,3.249103100488297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8937921947932066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385966701933097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4476108650443034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positiveClass
0,0.5638748448558061,0,0.6991652528855082,0,0,0,0,3.3214458590711877,0,0,0,1.2891676503891678,0,2.8007865709987847,0,0,2.892088731051329,1.4762190686478776,0,1.516403046466911,0,0,0,0,0,0,3.1989751631618644,1.6245515502441485,0,1.6793240398982667,0,1.7147984280919266,0,0,1.774902352161632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.984131361875511,0,3.99020078649217,0,0,2.05572501506252,0,0,0,0,0,0,0,0,0,0,4.223929466770792,0,0,0,0,0,0,2.158484749020289,0,0,2.1759524420606797,0,0,0,0,0,2.234926444520231,0,0,0,0,2.2730262907525014,0,0,0,0,0,0,6.983708702935006,2.3486290314954523,0,0,0,0,0,2.369793842687496,2.375155785828881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4769384801388235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5902671654458267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positiveClass
0.5361434317502805,0,0,0,0,0,0,0,0,0,0,1.1760334356366946,0,0,0,0,0,0,0,0,1.516403046466911,0,1.5324768712979722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.789761466565382,0,0,1.8578992717326002,0,0,0,0,1.8937921947932066,0,0,0,0,0,0,1.995100393246085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.137070654516472,0,2.1541650878757723,0,4.325646301237774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375155785828881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6809215337139576,0,0,0,0,0,0,0,0,positiveClass
0.5361434317502805,0.5638748448558061,0.6358221139406759,2.796661011542033,0.8040787412672269,0.8782726646866342,0,0,0,2.2355902161697676,0,0,1.2891676503891678,0,0,0,0,0,1.4762190686478776,0,0,0,0,0,0,0,0,1.5994875815809322,1.6245515502441485,0,0,1.6982691261407161,0,0,0,0,0,0,1.8357113567572378,0,0,0,0,1.8773173575897015,0,0,0,1.9310215365615626,0,0,0,0,0,0,0,2.05572501506252,0,2.0635681925235456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2537949288246137,0,0,2.2633643798407643,0,0,0,0,2.3176987308040937,0,2.3279029009783354,0,0,0,0,0,0,0,0,0,0,0,0,7.157900105799291,0,0,0,0,0,0,0,0,0,2.4135166537013273,0,0,0,0,0,0,2.4592389030394224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5257286443082556,0,0,0,0,2.563949857128453,0,2.563949857128453,5.140929076299294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617295837833746,0,0,0,0,0,0,0,0,2.6380578292821752,2.6380578292821752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.695627681103653,0,0,0,positiveClass
3.753004022251963,0.5638748448558061,0,0.6991652528855082,0,0.8782726646866342,0,2.214297239380792,4.428594478761584,0,1.1378730026214123,4.704133742546778,0,0,4.201179856498177,0,0,2.892088731051329,0,0,1.516403046466911,0,0,0,3.1452478786227682,0,0,4.798462744742796,0,0,0,0,0,0,0,0,1.786771927717016,0,9.178556783786188,0,1.8578992717326002,1.8611095473628483,0,0,0,0,0,1.9310215365615626,0,1.9661128563728327,0,1.995100393246085,0,4.057496854728636,2.0518263746468626,0,2.05572501506252,0,0,0,0,0,0,0,0,0,0,0,0,0,4.274141309032944,0,2.1541650878757723,4.316969498040578,0,0,0,0,0,0,0,2.2302644314144198,0,0,0,0,0,2.2730262907525014,0,0,2.302585092994046,0,2.3176987308040937,0,0,7.045887094486357,2.353878387381596,0,0,0,0,0,0,0,0,0,2.385966701933097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4592389030394224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5194980945576195,0,0,0,2.5257286443082556,0,0,0,0,2.563949857128453,0,0,2.570464538149647,0,2.5770219386958058,0,0,0,0,0,0,0,0,2.610469872763346,0,0,2.617295837833746,0,2.617295837833746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6882475738060303,0,0,0,0,0,0,positiveClass
